"CODE"             ,"NAME"                  ,"SUBJECT"                                                         ,"CONTENT"
"arrival-assignee" ,"任务到达（任务处理人）","${humanTask.presentationSubject}需要您审批"                      ,"${task.assignee}您好，您有新任务需要处理——${humanTask.presentationSubject}。<br><a href="${baseUrl}/operation/task-operation-viewTaskForm.do?humanTaskId=${humanTask.id?c}">${baseUrl}/operation/task-operation-viewTaskForm.do?humanTaskId=${humanTask.id?c}</a>"
"arrival-initiator","任务到达（流程发起人）","您的流程${humanTask.presentationSubject}已经到达${task.name}环节","${initiator}您好，您的流程${humanTask.presentationSubject}已经到达${task.name}环节。<br><a href="${baseUrl}/bpm/workspace-viewHistory.do?processInstanceId=${humanTask.processInstanceId}">${baseUrl}/bpm/workspace-viewHistory.do?processInstanceId=${humanTask.processInstanceId}</a>"
"complete"         ,"任务完成"              ,"您的流程${humanTask.presentationSubject}已经完成${task.name}环节","${initiator}您好，您的流程${humanTask.presentationSubject}已经完成${task.name}环节。<br><a href="${baseUrl}/bpm/workspace-viewHistory.do?processInstanceId=${humanTask.processInstanceId}">${baseUrl}/bpm/workspace-viewHistory.do?processInstanceId=${humanTask.processInstanceId}</a>"
"timeout"          ,"任务超时提醒"          ,"您负责的任务${humanTask.presentationSubject}即将过期"            ,"${task.assignee}您好，您负责的任务${humanTask.presentationSubject}即将过期。<br><a href="${baseUrl}/operation/task-operation-viewTaskForm.do?humanTaskId=${humanTask.id?c}">${baseUrl}/operation/task-operation-viewTaskForm.do?humanTaskId=${humanTask.id?c}</a>"
